gcf	description	gene_name	accver	gene_location	locus_tag	organism_name	infraspecific_name	taxid	species_taxid
GCF_000025425.1	Campylobacter jejuni subsp. jejuni IA3902, complete genome	16S ribosomal RNA	NC_017279.1	[39259:40777](+)	CJSA_RS00150	Campylobacter jejuni subsp. jejuni IA3902		567106	197
GCF_000025425.1	Campylobacter jejuni subsp. jejuni IA3902, complete genome	16S ribosomal RNA	NC_017279.1	[398789:400307](+)	CJSA_RS02120	Campylobacter jejuni subsp. jejuni IA3902		567106	197
GCF_000025425.1	Campylobacter jejuni subsp. jejuni IA3902, complete genome	16S ribosomal RNA	NC_017279.1	[700076:701594](+)	CJSA_RS03705	Campylobacter jejuni subsp. jejuni IA3902		567106	197
GCF_000091345.1	Helicobacter pylori B38 complete genome, strain B38	16S ribosomal RNA	NC_012973.1	[1113119:1114629](-)	HELPY_RS05405	Helicobacter pylori B38	strain=B38	592205	210
GCF_000091345.1	Helicobacter pylori B38 complete genome, strain B38	16S ribosomal RNA	NC_012973.1	[1393896:1395406](-)	HELPY_RS06845	Helicobacter pylori B38	strain=B38	592205	210
GCF_000091985.1	Helicobacter mustelae 12198 complete genome	16S ribosomal RNA	NC_013949.1	[124912:126414](+)	HMU_RS00540	Helicobacter mustelae 12198	strain=12198	679897	217
GCF_000091985.1	Helicobacter mustelae 12198 complete genome	16S ribosomal RNA	NC_013949.1	[555226:556728](+)	HMU_RS02675	Helicobacter mustelae 12198	strain=12198	679897	217
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299, complete genome	16S ribosomal RNA	NC_014166.1	[237927:239448](+)	ARNIT_RS01240	Arcobacter nitrofigilis DSM 7299	strain=DSM 7299	572480	28199
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299, complete genome	16S ribosomal RNA	NC_014166.1	[2328935:2330456](-)	ARNIT_RS11640	Arcobacter nitrofigilis DSM 7299	strain=DSM 7299	572480	28199
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299, complete genome	16S ribosomal RNA	NC_014166.1	[2660330:2661851](-)	ARNIT_RS13255	Arcobacter nitrofigilis DSM 7299	strain=DSM 7299	572480	28199
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299, complete genome	16S ribosomal RNA	NC_014166.1	[3087353:3088874](-)	ARNIT_RS15355	Arcobacter nitrofigilis DSM 7299	strain=DSM 7299	572480	28199
GCF_000093185.1	Helicobacter pylori v225d, complete genome	16S ribosomal RNA	NC_017355.1	[1146456:1147967](-)	HPV225_RS05440	Helicobacter pylori v225d	strain=v225d	637913	210
GCF_000093185.1	Helicobacter pylori v225d, complete genome	16S ribosomal RNA	NC_017355.1	[1532641:1534152](+)	HPV225_RS07380	Helicobacter pylori v225d	strain=v225d	637913	210
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294, complete genome	16S ribosomal RNA	NC_014506.1	[696457:697979](+)	SAUT_RS03655	Sulfurimonas autotrophica DSM 16294	strain=DSM 16294	563040	202747
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294, complete genome	16S ribosomal RNA	NC_014506.1	[1569475:1570997](-)	SAUT_RS07980	Sulfurimonas autotrophica DSM 16294	strain=DSM 16294	563040	202747
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294, complete genome	16S ribosomal RNA	NC_014506.1	[1739374:1740896](-)	SAUT_RS08890	Sulfurimonas autotrophica DSM 16294	strain=DSM 16294	563040	202747
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294, complete genome	16S ribosomal RNA	NC_014506.1	[2120475:2121997](-)	SAUT_RS10800	Sulfurimonas autotrophica DSM 16294	strain=DSM 16294	563040	202747
GCF_000148665.1	Helicobacter pylori 908, complete genome	16S ribosomal RNA	NC_017357.1	[1111889:1113398](-)	HP908_RS05365	Helicobacter pylori 908	strain=908	869727	210
GCF_000148705.1	Campylobacter jejuni subsp. jejuni M1, complete genome	16S ribosomal RNA	NC_017280.1	[37542:39060](+)	CJM1_RS00145	Campylobacter jejuni subsp. jejuni M1	strain=M1	645464	197
GCF_000148705.1	Campylobacter jejuni subsp. jejuni M1, complete genome	16S ribosomal RNA	NC_017280.1	[393309:394827](+)	CJM1_RS02040	Campylobacter jejuni subsp. jejuni M1	strain=M1	645464	197
GCF_000148705.1	Campylobacter jejuni subsp. jejuni M1, complete genome	16S ribosomal RNA	NC_017280.1	[696515:698033](+)	CJM1_RS03595	Campylobacter jejuni subsp. jejuni M1	strain=M1	645464	197
GCF_000148855.1	Helicobacter pylori SJM180, complete genome	16S ribosomal RNA	NC_014560.1	[1149788:1151298](-)	HPSJM_RS05480	Helicobacter pylori SJM180	strain=SJM180	765962	210
GCF_000148855.1	Helicobacter pylori SJM180, complete genome	16S ribosomal RNA	NC_014560.1	[1474312:1475822](-)	HPSJM_RS07065	Helicobacter pylori SJM180	strain=SJM180	765962	210
GCF_000148875.1	Helicobacter pylori PeCan4, complete genome	16S ribosomal RNA	NC_014555.1	[1131506:1133017](-)	HPPC_RS05390	Helicobacter pylori PeCan4	strain=PeCan4	765963	210
GCF_000148875.1	Helicobacter pylori PeCan4, complete genome	16S ribosomal RNA	NC_014555.1	[1401374:1402885](-)	HPPC_RS06780	Helicobacter pylori PeCan4	strain=PeCan4	765963	210
GCF_000148895.1	Helicobacter pylori Cuz20, complete genome	16S ribosomal RNA	NC_017358.1	[1186992:1188503](-)	HPCU_RS05680	Helicobacter pylori Cuz20	strain=Cuz20	765964	210
GCF_000148895.1	Helicobacter pylori Cuz20, complete genome	16S ribosomal RNA	NC_017358.1	[1457871:1459382](-)	HPCU_RS07085	Helicobacter pylori Cuz20	strain=Cuz20	765964	210
GCF_000148915.1	Helicobacter pylori Sat464, complete genome	16S ribosomal RNA	NC_017359.1	[1111764:1113275](-)	HPSAT_RS05350	Helicobacter pylori Sat464	strain=Sat464	794851	210
GCF_000148915.1	Helicobacter pylori Sat464, complete genome	16S ribosomal RNA	NC_017359.1	[1382533:1384044](-)	HPSAT_RS06740	Helicobacter pylori Sat464	strain=Sat464	794851	210
GCF_000162575.1	Helicobacter canadensis MIT 98-5491 chromosome, whole genome shotgun sequence	16S ribosomal RNA	NZ_CM000776.2	[287365:288874](+)	HCAN_RS01475	Helicobacter canadensis MIT 98-5491	strain=MIT 98-5491	537970	123841
GCF_000162575.1	Helicobacter canadensis MIT 98-5491 chromosome, whole genome shotgun sequence	16S ribosomal RNA	NZ_CM000776.2	[1240125:1241634](-)	HCAN_RS06115	Helicobacter canadensis MIT 98-5491	strain=MIT 98-5491	537970	123841
GCF_000162575.1	Helicobacter canadensis MIT 98-5491 chromosome, whole genome shotgun sequence	16S ribosomal RNA	NZ_CM000776.2	[1569818:1571327](-)	HCAN_RS07765	Helicobacter canadensis MIT 98-5491	strain=MIT 98-5491	537970	123841
GCF_000163975.1	Campylobacter jejuni subsp. jejuni 1336 chromosome, whole genome shotgun sequence	16S ribosomal RNA	NZ_CM000854.1	[428150:429663](+)	C1336_RS08330	Campylobacter jejuni subsp. jejuni 1336	strain=1336	683082	197
GCF_000171795.2	Campylobacter jejuni subsp. jejuni CG8421, complete genome	16S ribosomal RNA	NZ_CP005388.1	[39131:40649](+)	CJ8421_RS00150	Campylobacter jejuni subsp. jejuni CG8421	strain=CG8421	478547	197
GCF_000171795.2	Campylobacter jejuni subsp. jejuni CG8421, complete genome	16S ribosomal RNA	NZ_CP005388.1	[393793:395311](+)	CJ8421_RS02120	Campylobacter jejuni subsp. jejuni CG8421	strain=CG8421	478547	197
GCF_000171795.2	Campylobacter jejuni subsp. jejuni CG8421, complete genome	16S ribosomal RNA	NZ_CP005388.1	[686704:688222](+)	CJ8421_RS03640	Campylobacter jejuni subsp. jejuni CG8421	strain=CG8421	478547	197
GCF_000178935.2	Helicobacter pylori 35A, complete genome	16S ribosomal RNA	NC_017360.1	[27194:28705](-)	HMPREF4655_RS00150	Helicobacter pylori 35A	strain=35A	585535	210
GCF_000178935.2	Helicobacter pylori 35A, complete genome	16S ribosomal RNA	NC_017360.1	[1341089:1342600](-)	HMPREF4655_RS06490	Helicobacter pylori 35A	strain=35A	585535	210
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994, complete genome	16S ribosomal RNA	NC_014762.1	[657230:658745](+)	SULKU_RS03375	Sulfuricurvum kujiense DSM 16994	strain=DSM 16994	709032	148813
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994, complete genome	16S ribosomal RNA	NC_014762.1	[1948073:1949588](-)	SULKU_RS09740	Sulfuricurvum kujiense DSM 16994	strain=DSM 16994	709032	148813
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994, complete genome	16S ribosomal RNA	NC_014762.1	[2523164:2524679](-)	SULKU_RS12610	Sulfuricurvum kujiense DSM 16994	strain=DSM 16994	709032	148813
GCF_000184205.1	Campylobacter jejuni subsp. jejuni S3, complete genome	16S ribosomal RNA	NC_017281.1	[37393:38911](+)	CJS3_RS00145	Campylobacter jejuni subsp. jejuni S3	strain=S3	718271	197
GCF_000184205.1	Campylobacter jejuni subsp. jejuni S3, complete genome	16S ribosomal RNA	NC_017281.1	[394145:395663](+)	CJS3_RS02085	Campylobacter jejuni subsp. jejuni S3	strain=S3	718271	197
GCF_000184205.1	Campylobacter jejuni subsp. jejuni S3, complete genome	16S ribosomal RNA	NC_017281.1	[729619:731137](+)	CJS3_RS03920	Campylobacter jejuni subsp. jejuni S3	strain=S3	718271	197
GCF_000185185.1	Helicobacter pylori India7, complete genome	16S ribosomal RNA	NC_017372.1	[1157007:1158517](-)	HPIN_RS05440	Helicobacter pylori India7	strain=India7	907238	210
GCF_000185185.1	Helicobacter pylori India7, complete genome	16S ribosomal RNA	NC_017372.1	[1593165:1594675](+)	HPIN_RS07595	Helicobacter pylori India7	strain=India7	907238	210
GCF_000185205.1	Helicobacter pylori Gambia94/24, complete genome	16S ribosomal RNA	NC_017371.1	[1200702:1202211](-)	HPGAM_RS05685	Helicobacter pylori Gambia94/24	strain=Gambia94/24	907240	210
GCF_000185205.1	Helicobacter pylori Gambia94/24, complete genome	16S ribosomal RNA	NC_017371.1	[1526620:1528129](-)	HPGAM_RS07295	Helicobacter pylori Gambia94/24	strain=Gambia94/24	907240	210
GCF_000185225.1	Helicobacter pylori Lithuania75, complete genome	16S ribosomal RNA	NC_017362.1	[1136447:1137957](-)	HPLT_RS05510	Helicobacter pylori Lithuania75	strain=Lithuania75	907237	210
GCF_000185225.1	Helicobacter pylori Lithuania75, complete genome	16S ribosomal RNA	NC_017362.1	[1413590:1415100](-)	HPLT_RS06915	Helicobacter pylori Lithuania75	strain=Lithuania75	907237	210
GCF_000185245.1	Helicobacter pylori SouthAfrica7, complete genome	16S ribosomal RNA	NC_017361.1	[1144213:1145722](-)	HPSA_RS05390	Helicobacter pylori SouthAfrica7	strain=SouthAfrica7	907239	210
GCF_000185245.1	Helicobacter pylori SouthAfrica7, complete genome	16S ribosomal RNA	NC_017361.1	[1375559:1377068](-)	HPSA_RS06590	Helicobacter pylori SouthAfrica7	strain=SouthAfrica7	907239	210
