species	accession
Campylobacter jejuni	GCF_003368145.1
Campylobacter jejuni subsp. jejuni	GCF_002209005.1
Campylobacter jejuni	GCF_001457695.1
Campylobacter jejuni subsp. jejuni	GCF_003999645.1
Campylobacter coli	GCF_001865535.1
Campylobacter coli 76339	GCF_000470055.1
Campylobacter coli RM1875	GCF_000583755.1
Campylobacter helveticus	GCF_002080395.1
Campylobacter helveticus	GCF_004345065.1
Campylobacter upsaliensis	GCF_900637395.1
Campylobacter avium LMG 24591	GCF_002238335.1
Campylobacter cuniculorum DSM 23162 = LMG 24588	GCF_002104335.1
Campylobacter fetus subsp. venerealis NCTC 10354	GCF_000222425.1
Campylobacter fetus subsp. fetus	GCF_900475935.1
Campylobacter fetus subsp. fetus 04/554	GCF_000759485.1
Campylobacter fetus subsp. fetus 82-40	GCF_000015085.1
Campylobacter fetus subsp. venerealis cfvi03/293	GCF_000512745.2
Campylobacter fetus subsp. venerealis 97/608	GCF_000759515.1
Campylobacter fetus subsp. venerealis str. 84-112	GCF_000967135.1
Campylobacter fetus subsp. venerealis	GCF_001686885.1
Campylobacter fetus subsp. testudinum	GCF_002973655.1
Campylobacter fetus subsp. testudinum	GCF_000814265.1
Campylobacter fetus subsp. testudinum Sp3	GCF_001484645.1
Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	GCF_001643955.1
Campylobacter hyointestinalis subsp. hyointestinalis	GCF_005844045.1
Campylobacter iguaniorum	GCF_000736415.1
Campylobacter iguaniorum	GCF_001483985.1
Campylobacter iguaniorum	GCF_001643995.1
Campylobacter sp. RM12175	GCF_002139875.1
Campylobacter sp. RM8964	GCF_002139895.1
Campylobacter sp. RM6137	GCF_002139855.1
Campylobacter sp. NCTC 13003	GCF_002139915.1
Campylobacter lanienae NCTC 13004	GCF_002139935.1
Campylobacter hyointestinalis subsp. lawsonii	GCF_001643975.1
Campylobacter ureolyticus RIGS 9880	GCF_001190755.1
Campylobacter sputorum bv. faecalis CCUG 20703	GCF_002220735.1
Campylobacter sputorum bv. sputorum RM3237	GCF_002220795.1
Campylobacter sputorum bv. paraureolyticus LMG 11764	GCF_002220755.1
Campylobacter sputorum	GCF_002220775.1
Campylobacter gracilis	GCF_001190745.1
Campylobacter hominis ATCC BAA-381	GCF_000017585.1
Campylobacter pinnipediorum subsp. pinnipediorum	GCF_002021945.1
Campylobacter pinnipediorum subsp. caledonicus	GCF_002022005.1
Campylobacter pinnipediorum subsp. caledonicus	GCF_002021985.1
Campylobacter pinnipediorum subsp. pinnipediorum	GCF_002021965.1
Campylobacter pinnipediorum subsp. pinnipediorum	GCF_002021925.1
Campylobacter concisus	GCF_001298465.1
Campylobacter concisus 13826	GCF_000017725.2
Campylobacter concisus	GCF_003048375.1
Campylobacter showae	GCF_900699785.1
Campylobacter curvus 525.92	GCF_000017465.2
Sulfurospirillum multivorans DSM 12446	GCF_000568815.1
Sulfurospirillum halorespirans DSM 13726	GCF_001723605.1
Sulfurospirillum sp. SL2-1	GCF_002162315.1
Sulfurospirillum sp. SL2-2	GCF_002205395.1
Sulfurospirillum sp. JPD-1	GCF_002309535.1
Sulfurospirillum sp. UCH001	GCF_001548035.1
Sulfurospirillum barnesii SES-3	GCF_000265295.1
Sulfurospirillum deleyianum DSM 6946	GCF_000024885.1
Sulfurospirillum cavolei	GCF_001548055.1
Arcobacter halophilus	GCF_003346755.1
Arcobacter marinus	GCF_003544855.1
Arcobacter molluscorum LMG 25693	GCF_003544935.1
Arcobacter pacificus	GCF_004214795.1
Arcobacter nitrofigilis DSM 7299	GCF_000092245.1
Arcobacter ellisii	GCF_003544915.1
Arcobacter sp. L	GCF_000284235.1
Arcobacter suis CECT 7833	GCF_003544815.1
Arcobacter sp. LPB0137	GCF_001956695.1
Arcobacter sp. PSE-93	GCF_003711085.1
Arcobacter trophiarum LMG 25534	GCF_003355515.1
Arcobacter skirrowii CCUG 10374	GCF_003544835.1
Arcobacter skirrowii	GCF_003939045.1
Arcobacter cryaerophilus D2610	GCF_003660085.1
Arcobacter cryaerophilus ATCC 43158	GCF_003660105.1
Arcobacter thereius LMG 24486	GCF_004214815.1
 porcinus	GCF_004299785.1
Arcobacter butzleri RM4018	GCF_000014025.1
Arcobacter butzleri 7h1h	GCF_000215345.2
Arcobacter butzleri	GCF_900187115.1
Arcobacter butzleri ED-1	GCF_000284355.1
Arcobacter butzleri JV22	GCF_005886055.1
Arcobacter mytili LMG 24559	GCF_003346775.1
Arcobacter bivalviorum	GCF_003346815.1
Helicobacter apodemus	GCF_003097575.1
Helicobacter pullorum	GCF_900638355.1
Helicobacter canadensis MIT 98-5491	GCF_000162575.1
Helicobacter cinaedi	GCF_003214155.2
Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	GCF_000349975.1
Helicobacter cinaedi PAGU611	GCF_000284635.1
Helicobacter cinaedi	GCF_003213825.2
Helicobacter cinaedi	GCF_003574195.1
Helicobacter cinaedi	GCF_003213725.2
Helicobacter cinaedi	GCF_003130625.1
Helicobacter bilis	GCF_001999985.1
Helicobacter typhlonius	GCF_001460635.1
Helicobacter hepaticus ATCC 51449	GCF_000007905.1
Helicobacter mustelae	GCF_900476215.1
Helicobacter mustelae 12198	GCF_000091985.1
Helicobacter sp. MIT 01-6242	GCF_001693335.1
Helicobacter cholecystus	GCF_900638485.1
Helicobacter saguini	GCF_003546705.1
Helicobacter himalayensis	GCF_001602095.1
Helicobacter acinonychis	GCF_900198455.1
Helicobacter acinonychis str. Sheeba	GCF_000009305.1
Helicobacter pylori	GCF_003855475.1
Helicobacter pylori	GCF_001653395.1
Helicobacter pylori	GCF_001549875.1
Helicobacter pylori 51	GCF_000011725.1
Helicobacter pylori 35A	GCF_000178935.2
Helicobacter pylori	GCF_900638505.1
Helicobacter pylori	GCF_002357515.1
Helicobacter pylori F30	GCF_000270025.1
Helicobacter pylori	GCF_900119995.1
Helicobacter pylori	GCF_002983705.1
Helicobacter pylori	GCF_900120225.1
Helicobacter pylori	GCF_900120255.1
Helicobacter pylori	GCF_900120135.1
Helicobacter pylori	GCF_900176185.1
Helicobacter pylori	GCF_900120185.1
Helicobacter pylori	GCF_900119955.1
Helicobacter pylori	GCF_900120315.1
Helicobacter pylori	GCF_900120055.1
Helicobacter pylori	GCF_900120275.1
Helicobacter pylori	GCF_900120205.1
Helicobacter pylori	GCF_900120335.1
Helicobacter pylori J99	GCF_000008785.1
Helicobacter pylori 2017	GCF_000192315.1
Helicobacter pylori NY40	GCF_000828955.1
Helicobacter pylori 908	GCF_000148665.1
Helicobacter pylori 2018	GCF_000192335.1
Helicobacter pylori Gambia94/24	GCF_000185205.1
Helicobacter pylori SouthAfrica20	GCF_000590775.1
Helicobacter pylori	GCF_001653455.1
Helicobacter pylori SouthAfrica7	GCF_000185245.1
Helicobacter pylori PeCan18	GCF_000277425.1
Helicobacter pylori ELS37	GCF_000255955.1
Helicobacter cetorum MIT 00-7128	GCF_000259255.1
Helicobacter cetorum MIT 99-5656	GCF_000259275.1
Helicobacter heilmannii ASB1.4	GCF_000319205.1
Helicobacter bizzozeronii CIII-1	GCF_000237285.1
Helicobacter felis ATCC 49179	GCF_000200595.1
Helicobacter saguini	GCF_003546745.1
Helicobacter saguini	GCF_003546725.1
Helicobacter saguini	GCF_003546685.1
Wolinella succinogenes	GCF_900637325.1
Wolinella succinogenes DSM 1740	GCF_000196135.1
Sulfuricurvum kujiense DSM 16994	GCF_000183725.1
Candidatus Sulfuricurvum sp. RIFRC-1	GCA_000310245.1
Sulfurimonas gotlandica GD1	GCF_000242915.1
Sulfurimonas denitrificans DSM 1251	GCF_000012965.1
Sulfurimonas autotrophica DSM 16294	GCF_000147355.1
Sulfurovum sp. NBC37-1	GCF_000010345.1
Sulfurovum lithotrophicum	GCA_000987835.1
Nitratifractor salsuginis DSM 16511	GCF_000186245.1
Nautilia profundicola	GCF_004006315.1
Nautilia profundicola AmH	GCF_000021725.1
Cetia pacifica	GCF_005083985.1
Caminibacter mediatlanticus TB-2	GCF_005843985.1
Nitratiruptor sp. SB155-2	GCF_000010325.1
